"","LD1_1","LD1_2","LD1_3","LD1_4","LD1_5","LD1_6","LD1_7","LD1_8","LD1_9","LD1_10","LD1_11","LD1_12","LD1_13","LD1_14","LD1_15","LD1_16","LD1_17","LD1_18","LD1_19","LD1_20"
"time.IQR",0.268295950584858,0.909192609100567,0.112976420199049,0.73644091017144,0.135773056170261,0.104591626570488,0.0780464481444596,1.14001956969295,0.215112726999019,1.21621114460463,0.00249701393802171,0.908202346049293,0.623940245326741,0.51581583086319,0.340906170933644,0.324526746157622,0.523222262716719,0.596503420193342,0.0515063466532594,1.00858173820118
"skew",0.507921379190493,0.0275790999013514,0.191433741519803,0.0618216928549584,0.354184113040234,0.176773509269323,0.137870681014547,0.257293003990208,0.629457944679993,0.0643341698357262,0.421722061690037,0.0365714683002441,0.173237199351448,0.229181321931744,0.0258085477569291,0.028827425480117,0.178264195063594,0.362613660520818,0.0849868668474401,0.54313078772439
"kurt",0.0301273869878308,0.000129575579481652,0.00043202265903218,0.00565734306622133,0.0156929130932916,0.00605666026377876,0.0117426856945953,0.0176194125402732,0.0308802692439042,0.015714107874943,0.0160432417229125,0.00366814016667307,0.0123535018444424,0.0305381115591323,0.00318863613303882,0.0191606521082664,0.0101642563210533,0.0108228403392851,0.00670274731540385,0.0229378508513498
"sp.ent",13.5230913186218,10.4059849115764,27.6463950290339,42.3082479947509,27.6623229548553,17.6434293665639,81.1469783067025,12.0547003729891,44.9222055662526,50.7390377945191,63.5098316948738,49.8165505730049,30.2824123981821,18.3573510014097,18.0628212454096,51.2888816707186,7.39864157031912,12.5190741209738,22.1945654828161,41.4532815539532
"time.ent",14.9491084824028,13.8516213407413,43.2438903463521,39.5543301921423,25.7724419625922,15.1523895673302,98.0311783967989,37.2294555491545,25.5176984766786,26.3077314311972,81.3333827343873,53.6507593010316,35.4058603200886,25.6613358028987,10.2332923308824,43.3031142076875,0.4948182570671,13.0182301274324,33.9872181454386,25.4179633338931
"entropy",21.0425767329635,11.8339944633352,45.294547926626,40.4901934738748,30.5697371399342,10.8751322684637,117.304962518233,40.8691570239748,31.2105109268566,43.9357890874144,95.4421466884676,67.1614878282576,41.6312233005102,18.7014915104634,14.5176024648399,50.1051710848326,2.74872118480983,9.47212694004266,33.8920197001513,35.1782787701795
"sfm",8.95916184683383,0.39284505846558,7.65787557705301,4.35336632614663,3.38753489755062,1.69604563580869,9.31558501179812,11.6209039933482,0.0311535777904542,10.0071600106267,7.17761180807432,2.51036228953776,1.08910519785612,22.613117154203,8.65225423334253,1.59125058274767,1.81024135932752,4.56277371690314,3.90034424836466,11.1459451388286
"meandom",0.0128927228639386,0.0140500810134283,0.0118097505596393,0.00540143238449074,0.0193110402361054,0.0224281804147086,0.00114156804549092,0.00142693097503808,0.00995820231013424,0.024949208202757,0.0364158884267948,0.000538891377470612,0.00526285636365751,0.0244468343878126,0.0072529219915697,0.00175894607526698,0.00556861544612925,0.0192569359213619,0.0021916679763863,0.00936019748290943
"mindom",0.0345667567023498,0.0360326083905196,0.0174413864514627,0.0327909430705224,0.0199663943475803,0.0210873085028291,0.0152624663923607,0.0148509127358704,0.0368670581286266,0.00230058079850309,0.0333076270768123,0.00599106955102682,0.023408015507114,0.00762407824893599,0.0504364526875534,0.0252918338000163,0.0491707546469036,0.0453052374101751,0.0204214272589487,0.00877360001761216
"maxdom",0.0014918448961004,0.00274386594024508,0.0026967092381577,0.00466534760743561,0.00575600960336203,0.001427416278545,0.00206067196475125,0.00710364125802538,0.000577686264859744,0.00328015532197086,0.000464733692528349,0.0122005214656848,0.00563507698805014,0.00510341008687099,0.0119318766760521,0.00625207773424616,0.00289069361280564,0.000206380815451496,0.00386680620241056,0.0064515018996732
"dfrange",0.00371004438020141,0.00614712685761532,0.00374681345135275,0.00708209588428195,0.00750675093640622,0.00368314880710278,0.00395859431048249,0.00845287180335192,0.00521691320302067,0.00359747408631414,0.00231993577785259,0.0127471451704702,0.0044862688307462,0.00614736983839357,0.00923490037826968,0.00825603663864867,0.000262459587331849,0.00202332133032087,0.00622513263613542,0.00626252570341852
