"","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9","LD10","LD11","LD12","LD13","LD14","LD15","LD16","LD17","LD18","LD19","LD20","LD21","LD22","LD23","LD24","LD25","LD26","LD27","LD28","LD29","LD30","LD31","LD32"
"segments",0.271946018688793,0.241342000724174,0.067452986097674,-0.509367900408991,0.234544296725212,-0.123278122429755,-0.217673205068638,-0.33128302753374,0.131331850976031,0.228331158961633,-0.681625397821287,0.799051491770218,0.156847180522496,0.461302898932179,0.640343111910241,-1.20238982399878,-0.107964653239447,1.13671744144929,0.484104396773111,-1.46560837016342,-0.694859190131754,-0.650422621044505,0.298815977657295,-0.936646266300768,-0.900457511044714,0.966406577818576,0.391457683452699,0.349827552473073,0.202051562145385,0.298077827303804,0.00891989510600091,0.110208923371532
"meanslope",0.222118604168353,0.96702422433027,-0.27747744003265,-0.761640895498301,0.0246442458144618,0.240930524928525,-0.169778353476679,-0.00782842275811148,0.120150877375827,0.3464554827248,-0.848106235664968,-0.568510320981569,-0.425796848811045,1.23117829690915,1.31095979895748,1.01891713823144,-0.636651637609494,1.29619444701245,-0.115203026012996,2.103927833235,-0.0458503664845477,-0.651006165859595,-0.886636913376046,-0.401264781695496,1.77709318760875,1.14827965106846,0.519656779530803,1.95174475009843,0.975549141060984,-0.691827512547405,-0.190560042955084,-1.2771003812781
"pos_slopes",0.12933623978788,-0.0352767775216152,-0.0857059381734615,-0.190469082788684,-0.196888673381512,0.0473841495216197,-0.0111154990309799,-0.171708740452008,0.0814720182695846,-0.0536619755501798,0.151403543436783,0.0863811590607412,-0.196943782452633,-0.0870896278894961,0.0185240578669596,-0.105351630929044,-0.0278906239436657,0.0608585821422522,0.0826352686510304,-0.0920449356216199,-0.10396183978874,0.0623516930297554,0.0165519628619589,-0.0272485346515193,-0.066515815563551,-0.0688508565331453,-0.0106877667062719,0.0310327213512935,0.0724518048164602,0.0241271150908324,-0.0337246159039342,0.0490916096953557
"sd",-0.124868496390029,-0.228997553878845,0.311684177672189,0.171345644897971,-0.177923342716916,0.0122822885385077,-0.246345486075304,-0.061504756696788,-0.0609838746523606,0.432761657931618,-0.319619900648727,-0.0128876559905065,-0.457602961756433,-0.124641063301862,-0.129206787518842,0.117278085476712,0.196808298225413,0.103822200338367,0.0369122534687391,0.135719280344113,0.0797311307513791,0.248355244490383,0.0572479349698699,-0.360861395276887,-0.105429209569548,-0.0382568779947348,0.306113512021215,0.312156794577769,-0.412144631396729,-0.0929429128351064,-0.046850269305635,0.13335400344773
"neg_slopes",0.120535855180237,0.0442403359468523,-0.115859062694811,-0.165516174078632,-0.0301520666940578,-0.0577857183934164,0.0326917101700779,-0.113874694534513,0.0856847455678066,0.102756490254293,0.136640522127976,-0.0144950055326656,-0.219283794700281,0.0156810075485625,0.0472880904616228,-0.0778183526714127,-0.0521025464145479,0.101878054115241,0.0742030331398893,-0.0709788149378393,-0.100702303389359,0.00184172476192121,-0.0660732256605108,-0.00974627831738843,-0.0250503436510829,-0.0514136684876628,0.0228771447456188,0.0544447712907153,0.0684047145645761,0.0893554406036659,-0.0173075033495128,0.041548643857444
"maxslope",-0.0838905825867854,-0.105329857361434,0.00408307435729703,0.0552729786973005,-0.0109125725463528,0.00806636925048604,-0.00701025484544907,-0.000270086470037935,-0.00509522129255488,-0.0784329631616763,0.0241054099133316,0.057065664616553,-0.0522490045192634,-0.0685402798715348,-0.173564835609199,-0.134499572216366,-0.0760032856824948,-0.0253228163786954,-0.01547850499305,-0.0977157222744775,0.00165766410597483,0.0276501150675676,0.16260122028896,0.0530032060577265,-0.0428494271595859,-0.085394652941816,-0.111006926141978,-0.297405041710852,-0.271475381862282,0.417781310537844,0.103392017687629,0.112385095001831
"duration",-0.0783247001193953,-0.184568436094735,0.0224903937322528,0.279959047044555,0.0513682854072543,0.14357587615083,0.0564463821247315,0.213504910362139,-0.147452513513249,0.031707069485195,-0.0730015046844636,0.0313354654095997,0.299411779348369,-0.0941613988536404,0.0199298899478933,0.163045247939832,0.00255257769725862,-0.131830806437803,-0.0966504307161016,0.110229541169695,0.194982314626847,-0.0902824110961007,-0.0397685598455348,-0.0170556134542777,0.0716913002116268,0.183576593207518,-0.0230764764541324,-0.0600591759849755,-0.0746053545537132,-0.0276372106903629,0.0978209121798639,-0.0140231616533543
"minslope",-0.0779674208117984,-0.0155992270418414,0.105667078755925,-0.0325890587875681,0.0951243456528892,0.0289200148748025,0.101811555822288,0.00955405299912157,-0.182249497617893,-0.148859213714934,0.0414965885232509,0.0423756609520166,-0.170179273097761,-0.103519320214885,-0.0904734612045713,-0.146679865263788,-0.199135153253991,0.0528226989572944,0.12165433618248,-0.0785488777760086,0.121906018633381,0.115365417373542,0.127304687643627,0.109216404430021,-0.189144745167175,-0.0741799080082636,-0.125969164456954,-0.385946844577501,-0.253612463816333,0.149093106722384,0.204455751875601,0.292997950557302
"meanfreq",0.0737659865625382,-0.194146772526824,0.146084276163548,-0.0508081192220675,0.00376166237292861,-0.0641853020734057,0.0310213693665493,0.0489165897717925,-0.00435624308104895,0.11771650488866,-0.0803767761128841,0.0458530775215382,0.175933371796246,0.0129254052513494,-0.137773208747402,0.0681554974857099,-0.0100440255129015,0.237728202873468,0.250433321179984,-0.0775867554815783,0.0409165134049544,0.1071139492955,-0.029209975780416,0.342176047028053,-0.0521269228889302,0.0443157657685834,-0.240975365766818,-0.269788662983885,0.530369525962469,0.145213876031579,0.178061937066315,-0.417497404564235
"modindx",0.0676711173112324,0.146967054910229,-0.0328674092968936,0.056872366147063,0.0400681564049552,0.0460395789688497,-0.0285201463710991,-0.15010669396357,-0.00537511407498053,0.0225708492174978,-0.370014468608484,-0.300338663342255,0.300579018544312,0.0866971715207821,0.100136744432062,-0.233426555861392,0.174152283324984,0.183245255064973,0.166481109581994,0.247660981221279,-0.130105700092264,0.196458439467514,-0.523553687672664,0.194570692256381,-0.37097784491567,-0.349366042040204,-0.213566093959902,0.150002828589447,-0.385107285834847,0.156965164692997,-0.238798859047732,0.0159466389854681
