"","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9","LD10","LD11","LD12","LD13","LD14","LD15","LD16","LD17","LD18","LD19","LD20","LD21"
"minslope",0.161647155672619,0.108453374290957,0.168836097235075,0.229557618335218,0.082756621308644,0.155638232166273,-0.185472351419076,0.0904348535246683,0.375102003404713,0.162435781397251,0.055665450655869,0.112420012122916,0.237075059508476,0.372231423612089,0.0242391298028388,0.464127216101725,-0.407998382452266,0.168398848162121,-0.286214690649506,0.023135636516947,-0.141439966759622
"meanfreq",0.155291299822726,-0.0177792019606908,-0.0949460886736305,0.00149688473517765,-0.0815902374894125,-0.029365034699525,-0.00715507964244823,-0.0577740437067917,-0.267516101574112,0.0576924364027658,0.0732353931693901,0.0471937787736512,0.190880063104259,-0.0733487181187145,-0.278479091948745,0.038164854985147,0.177985741621683,0.0723416170739541,-0.292772216589778,0.09955147244326,-0.189913930330797
"segments",0.126482393602879,0.223026850576298,-0.370807097071596,-0.327164907104397,0.408154402076679,0.157930444220611,0.458225661646737,0.636682978325986,-0.05279395729314,-0.66820512530008,0.230539385144017,-0.0820532465578807,-0.111862961335419,-0.0973170809343668,0.448014349619631,-0.0751304344330144,0.327394324861186,-0.944040407482252,-0.786223203486268,0.362971330266517,0.130922886394468
"maxslope",0.10742180208389,0.0255868775323664,0.10349169837106,0.177580248334838,0.0443958052384022,0.0512433163698453,-0.162901736139395,0.0464845435360842,0.365781595455765,0.0508982288485167,0.061288809391654,-0.00162381057510888,0.0538881752991507,0.346429189594023,0.0424027833567489,0.532480299613678,-0.374857208946346,0.105612517894848,-0.485679953325312,-0.0293423730862821,-0.188442564692247
"duration",-0.0687401716232466,0.0119050374488193,0.0150936236627581,0.0750611149768113,-0.0922956321270957,-0.0930384356464346,-0.273218878317253,-0.100918670766006,-0.229882651004675,0.0913351186083845,0.10875168545195,-0.198330895881084,0.0598613626348985,0.042809343112638,0.316883233861007,-0.120981907312987,-0.0667855844635195,0.103404893237582,-0.0508767576360751,0.0567987458549657,0.0674994869324849
"freq.Q75",-0.0683775702175492,0.0225170306960976,0.0158980489519879,-0.000403007559631136,0.0500116427033544,0.00572472337753316,-0.0170692682510616,-0.0533243480060754,0.00041445883693128,0.0236893699891127,-0.0532586730908794,0.0548325508779013,-0.0930194371103651,-0.0216452743595638,0.0926279718798301,0.00332728864248006,-0.0507966608256526,0.0264575263739682,0.0812411989826487,-0.0011115327958375,0.00532755210868014
"neg_slopes",0.0534139204208443,-0.00614365258887866,-0.0275921965493467,-0.115660817930183,0.0141132974838791,0.0293951896138304,0.293407856421321,0.0280790316742604,0.0141543374701678,-0.062295179407688,-0.081152344721699,0.0505222798017179,-0.0166027087360862,0.0184549384664526,-0.109464604915058,0.113526885342907,-0.0600173102402321,-0.0812180489388337,0.0418829189092775,-0.050804578539394,-0.11285005214984
"freq.IQR",-0.0500982266506881,0.0287095621279275,0.0248555639191478,-0.0027351957675861,0.044895453698912,-0.0241247808724001,-0.0322856042748958,-0.0321020950888025,-0.0220429351141078,0.0116635565041593,-0.0202235844458536,0.0094782205320426,-0.0195121804916633,0.0206518654341839,-0.0157055369490552,-0.0310066807233297,-0.0445543291296396,-0.0508360165740584,0.0435913930422823,0.0323797171738538,-0.0533595736033488
"modindx",-0.0299616622295203,0.0579793681234291,-0.0844192666976305,0.0962481236621262,0.0308016394312272,-0.0358251971809892,0.169278931241872,-0.0997073872854052,0.00267763965332903,-0.191587408464611,0.217132765903282,0.159163015797566,0.274234036706404,-0.196319818328523,-0.0919103375130661,0.076667821745911,0.0763837531486647,0.0514626272061803,0.209541513243737,0.393202083736239,0.306557127969221
"freq.Q25",-0.026733049495993,-0.00448785037699372,-0.00815913099777802,0.00249797670813304,0.0105699211628434,0.0330597969166054,0.0148539046427733,-0.0284305611100522,0.0244833790334745,0.0154576744338764,-0.0412807161629265,0.0548459979470078,-0.0893058043099802,-0.0481996166533377,0.127170464370289,0.0377007840004418,-0.0118740888238398,0.0867698828662184,0.0491017386375132,-0.0365619986292725,0.0644060468023857
"pos_slopes",-0.019536008745118,-0.025641630545834,-0.221614416680441,-0.132421401552994,0.0649455923473063,0.13659623125637,0.185200168220255,0.0577703807169907,0.126086627311487,0.0584599082401673,-0.113200978430279,0.0119192589360615,0.0160807719988352,-0.012133143864173,-0.158074359317469,0.12765007834734,-0.0779835120429768,-0.133930574856779,0.027521790038065,-0.0678622377613778,-0.0727547990466277
"enddom",-0.0133203832374381,0.000716259281274815,-0.0250306246435644,0.0103972761474751,-0.00964312127558525,0.0015996599857173,0.0108166071511182,-0.00376386972877067,-0.00175365460256058,-0.0168749869660027,0.0442976357658831,-0.0086026781042704,-0.00572712221951982,0.00604133554302617,-0.0399021589713955,-0.0292744221222861,-0.0203464768218533,0.0369722064786629,0.0261145052451799,-0.0249648657409516,0.0238724036576697
"kurt",0.00647642755110247,-0.00772330822501062,0.00871605078475872,-0.0128334374416525,0.0245320165040008,0.0144217860118283,0.0178153003281953,-0.0165461491417701,0.0225913392182037,0.0187726493239961,0.00902642842496863,-0.0259383755359401,-0.0201569652028497,-0.0022678888051401,0.0251241186855965,-0.00250512758858362,-0.00528172963144889,0.00501279720417713,0.0210023214526559,-0.0409133477330109,-0.00983780536082431
"dfrange",-0.00619090681675171,-0.00524030979811148,0.00179386988155091,-0.00518637906957407,0.00341142452771749,-0.0067660379726484,-0.00311139805289405,-0.00744147359396853,0.0100020794935933,-0.00676545743285507,0.00664505954615925,0.0044123767247612,-0.00958888166333717,0.0067655260801519,0.000576625754476959,0.00850528628083366,-0.0128798073152854,-0.00907654672547338,0.00673747159896287,-0.00598905525259597,0.017820317393044
"maxdom",-0.00575714635618086,-0.00686456527078633,-0.000322230682758263,-0.0075649162993858,0.00282101253463624,-0.00834041158427943,-0.00376169746823963,-0.00930059027873833,0.0104909068281601,-0.00631263262061963,0.00755614116226187,0.00258966874874908,-0.00941927723299142,0.00483413708333119,-0.00275957191485669,0.0103421739192263,-0.0120031494977972,-0.00158753109934318,0.00623775499678076,-0.00119349198246217,0.0184206881989866
"startdom",-0.00495892639705976,-0.00331461496398784,0.00267059790555337,-0.021938346435011,0.0337683070024024,-0.0244739930451358,-0.00610616220547,0.0410540272988013,-0.000127411879091809,0.0235266302977369,0.0014119253063264,0.0027322114805283,0.0485158799230459,-0.027003413709426,0.040049300474513,-0.006942957726459,0.0385018074287411,0.03263151101144,0.00159297293417862,-0.0140192985581463,-0.0445330402851143
